,,,综合得分,国际学生占比,国际教师比例,师生比,每位教员引用率,学术声誉,雇主声誉
346,344,耶拿大学,31.7,25,Na,99.9,10.6,19.7,3.3
347,346,弗吉尼亚理工学院（Virginia Tech）,31.6,24.5,56,24.6,41.1,28.5,28.9
348,347,喀山联邦大学,31.4,86.3,3.6,88.4,3.8,19,7.6
349,347,UCSI大学,31.4,76.8,42.5,61,3.6,17.8,52.2
350,347,加州大学圣克鲁兹分校,31.4,17.8,52.6,7.5,89.1,19.7,5.7
351,347,斯图加特大学,31.4,46.2,25.5,5.1,66.4,24.3,36.6
352,351,布鲁内尔大学,31.3,97.9,99.8,11.7,64,11.5,15.6
353,351,马德里大学卡洛斯三世大学,31.3,20.2,16,54.8,6.4,30.9,47.5
354,351,乌拉尔联邦大学,31.3,38.7,3.5,94.6,2,21.4,12
355,354,林茨大学,31.2,26.6,76.9,75.2,24.5,11.3,14.6
356,355,乔治华盛顿大学,31.1,46,20.8,34.3,33.5,27.2,32
357,356,蒂尔堡大学,31,50,93.3,13.6,55.9,15.4,36.3
358,356,里斯本大学,31,41.2,2.8,13.3,39.2,40.3,20.2
359,358,南开大学,30.9,5.3,5.7,31.9,71,22.9,5.2
360,358,国立科技大学（NUST）伊斯兰堡,30.9,5.2,1.3,78.1,9.1,18.1,57.7
361,358,于韦斯屈莱大学,30.9,3.4,21.9,87.2,20.4,16.6,13.7
362,358,犹他大学,30.9,10.1,8.9,64.9,46,16.8,8.7
363,362,梨花女子大学,30.8,21.2,2.3,81.1,10.4,23,20.1
364,362,乐卓博大学,30.8,97.5,95.3,6.4,45.5,20.7,23.8
365,362,莫斯科国际关系研究所,30.8,54.2,5.6,100,1.3,13.3,21.4
366,365,ITMO大学,30.5,57.6,13.6,94.7,7.4,12.4,14.2
367,365,乌梅大学,30.5,11.2,11.6,79.3,20.2,20.1,12.4
368,365,乌尔姆大学,30.5,22.3,26.9,82.9,38.1,8.1,4.9
369,368,苏丹卡布斯大学,30.4,3.9,100,76.9,12.1,14.8,13.7
370,369,挪威科技大学,30.3,10.5,63.8,26.9,27.1,32.9,25
371,369,里约热内卢联邦大学,30.3,1.8,3.1,17.9,10.2,54.5,25.1
372,371,瓦伦西亚政治大学,30,21.2,2.2,72.8,13.5,25.5,12.3
373,372,林肯大学,29.8,99.1,99.2,47.6,30.2,8.3,8.5
374,373,北京理工大学,29.6,5,1.4,33.7,61.3,21.5,15.3
375,373,布拉格化学技术研究所,29.6,57.4,6.9,99.8,13.9,6.6,8.7
376,373,康涅狄格大学,29.6,31.1,44.9,15.3,75.4,15.8,11.7
377,373,怀卡托大学,29.6,76.5,99.2,11.1,44.5,19.9,16.4
378,377,奥卢大学,29.5,6.8,40.1,31.5,60.6,16.4,20.9
379,378,维多利亚州立大学,29.4,11.6,30.1,4.4,95.1,16.5,6.6
380,378,奎德阿萨姆大学,29.4,1.4,1.3,2.1,98.3,15.1,29.7
381,378,石溪大学,29.4,70.8,31.7,34.6,41,20.1,10.3
382,381,谢里夫理工大学,29.3,2.7,2.5,9.8,98.1,12.1,25.1
383,381,东京医科齿科大学,29.3,17.2,1.3,100,16.9,10.8,5.6
384,383,美国沙迦大学,29.1,100,100,28.4,15.2,18.9,27.2
385,383,北京航空航天大学,29.1,5.8,2.7,25.7,85.4,14.4,5.3
386,383,肯特大学,29.1,56.1,98.8,21.6,40.2,20,8.9
387,386,神户大学,28.9,10.1,2.5,59,11.7,26.8,33.2
388,387,堪萨斯大学,28.8,11,39.5,78.6,13.3,15.3,16.8
389,388,纽约州立大学布法罗分校,28.7,31.2,73.9,6.9,66.2,18.8,11.8
390,388,比萨大学,28.7,4.9,2,7.8,44.1,40.5,16.5
391,390,维多利亚大学圣拉斐尔大学,28.6,4,1.9,99.3,34.5,3.2,1.5
392,391,SOAS伦敦大学东方与非洲研究学院,28.5,100,100,30.4,15.4,19.9,12.8
393,391,巴勒莫大学,28.5,97.1,14.1,89.3,1.1,9.1,10.9
394,393,圣彼得堡国立政治大学,28.4,88.5,5.9,83.2,3.8,13.1,9.3
395,393,鲁尔大学波鸿,28.4,31.6,11.8,2,78.7,22.5,10
396,395,印度理工学院古瓦哈提分校,28.3,1.3,1.4,12,94.8,13.2,14.5
397,395,托木斯克理工大学,28.3,85.6,3.8,89.1,6.2,9.6,8.1
398,395,秘鲁天主大学,28.3,1.7,1.6,25.6,1.7,39.9,66.1
399,398,巴基斯坦工程与应用科学研究所（PIEAS）,28.2,na,na,93.1,33.2,5.4,6.9
400,399,菲律宾大学,28.1,1.4,1.1,48.3,1.9,33.9,42.1
401,400,印度理工学院鲁尔基分校,28,2.6,1,10.3,88.8,14.8,19.3
402,400,奥斯特拉尔大学,28,9.7,1.2,85,1.7,15.4,38.8
403,400,维尔纽斯大学,28,9.3,3.6,80.3,3.8,20.7,21.2
404,403,捷克技术大学在布拉格,27.9,49.5,10.3,60.5,5.6,19.8,36.7
405,403,山东大学,27.9,3.9,3.1,20.8,73.3,14.9,26.3
406,403,加州大学河滨分校,27.9,10.7,81.2,9.7,65.9,17.9,9.3
407,407,佛林德斯大学,27.8,94.2,99.1,5.9,54,13.1,8.4
408,407,华南理工大学,27.8,4.3,3.4,17.3,92.9,12.1,3.8
409,407,台北医科大学,27.8,16.7,6.4,90.3,16.7,9.7,12
410,407,厦门大学,27.8,4,2,23.5,57.7,25.7,8.4
411,411,威廉姆斯大学明斯特,27.7,7.6,13.1,37,16,33.7,24.9
412,412,国立中山大学,27.5,14.1,9.4,34.7,35.1,25.5,20
413,412,哈韦里亚纳主教大学,27.5,1.9,1.9,17.1,2.2,37.5,83.6
414,414,中央大学,27.4,32.1,4.8,73.2,9.2,15.5,27.7
415,414,拉彭兰塔理工大学,27.4,15.4,17.4,17.1,88.1,7.3,16.9
416,414,坦佩雷大学,27.4,7.6,20.1,26.4,40.4,25.2,24.2
417,414,国油大学（Petronas）,27.4,22.8,72.6,28.5,36.9,16.4,28.8
418,414,科罗拉多大学丹佛分校,27.4,10.6,1.5,100,12.7,8.3,8.5
419,414,北京科技大学,27.4,3.5,1.5,12.8,90.4,15,4.3
420,414,拉瓦尔大学,27.4,31.2,56.7,31.7,31.8,20.6,19.3
421,421,雅典国立科技大学,27.3,7.1,1,6.1,69.1,19.2,40.5
422,421,斯特拉斯堡大学,27.3,39.3,21.4,5.5,27.4,42.2,7.3
423,423,曼海姆大学,27.2,24.1,15.6,2.2,64.6,17.2,48.3
424,424,詹姆斯库克大学（JCU）,27.1,33.8,64.7,9.5,65.1,15.1,11.3
425,424,那不勒斯腓特烈二世大学,27.1,1.1,1.2,5.1,57.1,32.5,14.6
426,424,威特沃特斯兰德大学,27.1,9.5,76.1,12.4,36.4,24.9,30.3
427,427,美因茨大学,27,19.6,15.2,54.5,20.3,21.8,15
428,427,华盛顿州立大学,27,7.3,49.4,15.1,38,27,26.2
429,429,牛津布鲁克斯大学,26.9,65.4,55.4,13.9,10.3,26.6,53.1
430,429,维克森林大学,26.9,14.8,2,100,14,5.8,8.1
431,431,科罗拉多州立大学,26.8,6.6,10,59.4,20.6,19.5,20.9
432,431,伦斯勒理工学院,26.8,57,1.8,26.7,69.7,9.2,7.9
433,431,新里斯本大学,26.8,57,8.3,25.1,26.4,27.1,22.7
434,434,圣保罗联邦大学（UNIFESP）,26.7,1.7,1.9,97.4,8.2,11.9,5.5
435,434,约翰内斯堡大学,26.7,55.9,92.1,40.7,16.9,14.5,18.6
436,436,上海大学,26.6,7.4,37.1,50.5,18.3,24,8.9
437,436,杜兰大学,26.6,16.5,5.3,90.3,14.3,10.1,4.8
438,436,堪培拉大学,26.6,85.1,99.7,3.2,49.2,14,11.3
439,439,埃克塞斯大学,26.5,98.9,100,11.6,30.4,17.5,10.9
440,440,斯旺西大学,26.3,53.1,65.2,32.3,25,15.8,24.5
441,440,塞浦路斯大学,26.3,24.3,72.7,5.5,81.2,9,4.2
442,440,特伦托大学,26.3,5.9,13.3,16.6,54.8,24.9,10.1
443,440,特罗姆瑟大学,26.3,9,63.3,75.4,9.1,13.2,4
444,444,伊利诺伊理工学院,26.2,98.7,10.3,14.2,54.8,15.1,8
445,445,韩国外国语大学,26.1,39.5,16.1,79,1.6,11.7,23.8
446,445,开罗美国大学,26.1,3.7,92,37.8,4.2,26.8,20.9
447,447,乌尔库拉大学（UQU）,26,20.1,100,62.5,1.8,14.9,10.4
448,447,莱比锡大学,26,17.9,na,61.1,9.9,25.3,7.2
449,447,萨尔大学,26,42.5,1.9,82.5,9,11.6,7.7
450,450,米兰-比卡卡大学,25.9,7.8,na,1.5,81.2,19.5,10.7
451,451,奥克兰理工大学,25.8,100,100,11.9,15.6,20.3,20.6
452,451,邦德大学,25.8,99,99,46.3,19.1,4.8,7.5
453,451,四川大学,25.8,6.1,3.2,18.9,69.7,17.7,4.7
454,451,佛罗伦萨大学,25.8,19.9,2.7,6,48.2,32.5,7.3
455,455,布兰迪斯大学,25.7,81.5,10.6,52.1,28.8,10.9,4.5
456,455,科英布拉大学,25.7,48.8,3.6,16.8,32,28.6,17.3
457,455,University of Iowa,25.7,9.1,7,46.1,29.1,20.7,14.9
458,458,萨斯喀彻温大学,25.6,52.4,67.8,26.7,41,11.8,12
459,459,马德里理工大学,25.5,35.6,1.4,19.3,11.4,30.2,53.2
460,459,圣加仑大学（HSG）,25.5,78.5,100,6.3,32.1,9.2,50.6
461,461,科罗拉多矿业学院,25.4,15.1,9.1,28.4,70.5,8.2,10.5
462,461,远东联邦大学,25.4,67.9,6.3,90.6,2,6.8,3.2
463,461,伦敦大学金史密斯学院,25.4,97.3,85,18.3,21.3,18.4,8.7
464,461,哈勒-维滕贝格大学,25.4,11.2,na,85,6,14.7,6.5
465,465,艾尔朗加大学,25.3,2.2,2.9,44,1.2,27.4,49.3
466,465,技术Amirkabir大学,25.3,2.3,6.7,4.8,99.3,5.4,18
467,465,东南大学,25.3,4.3,2.7,33.6,63.8,12,5.6
468,465,贝尔格拉诺大学,25.3,30,2.1,91,1,8,19.6
469,469,国立台北理工大学,25.2,25,10.4,32.9,32.7,13.8,47.1
470,469,蒙得维的亚大学,25.2,3.8,11.9,80.9,1.1,14.7,19.8
471,471,本·古里安大学,25.1,18.3,56.3,13.9,55.8,14.4,15.3
472,471,哈瑟尔特大学,25.1,24.8,49.8,76,19.3,4.5,4
473,471,乌拉圭大学,25.1,2,8.6,89.5,1.2,11.3,18.4
474,471,斯特林大学,25.1,73.2,63.3,17.2,44.2,11.6,12.6
475,475,佛罗里达州立大学,25,4.5,5.7,9.8,36,28.3,38.9
476,476,密苏里大学,24.9,5.6,41.7,46.1,24.9,16.5,16.7
477,477,巴伊兰大学,24.8,6.7,40.3,7.7,81.7,9.4,7.4
478,477,千叶大学,24.8,6,2.2,73.2,12,16.3,7
479,477,德克萨斯大学达拉斯分校,24.8,46.1,2.6,4.8,66.7,15.5,17.8
480,480,长庚大学,24.7,6.2,1.5,65.6,44.1,4.7,4.3
481,480,列日大学,24.7,52.8,33.6,19,34.1,19,20.6
482,482,南哈萨克斯坦国立大学（SKSU）,24.6,20.7,5.5,90.8,1,9.6,9.9
483,482,斯泰伦博斯大学,24.6,9.7,8.9,3.6,51.7,24.5,27.4
484,482,韩国加图立大学,24.6,4.3,1.2,97.9,12.2,4.8,2.5
485,485,阿斯顿大学,24.5,31.4,97.4,12,38.5,12.5,28.8
486,485,都灵大学（UNITO）,24.5,10.8,2.3,3.5,42.9,34.2,7.9
487,487,国立科技大学“MISIS”,24.4,63.3,4.6,70.6,11.3,8.5,11.3
488,487,智利圣地亚哥大学,24.4,2.5,2.3,8.8,4.8,37.6,63.1
489,487,横滨市立大学,24.4,2.4,1.5,99.8,10.1,4.6,2.9
490,490,都柏林城市大学,24.3,25.8,70.7,30.7,13.8,18.7,30.1
491,490,吉森大学,24.3,11.6,5.2,1.5,87.2,12,8.3
492,492,圣保罗州立大学,24.2,4,1.9,25.3,15.5,33.7,21.9
493,492,格拉纳达大学,24.2,18.4,1.5,7.3,23.3,40,9.7
494,494,西悉尼大学,24.1,50.8,100,5.7,30,17.7,22.5
495,494,波士顿学院,24.1,18.1,4.9,29.8,29.1,22.3,21.6
496,494,基尔大学（德国）,24.1,10.8,na,51.2,22.9,19.2,9.2
497,494,东国大学,24.1,21.2,3.6,82.8,7.4,9.4,9.4
498,494,爱荷华州立大学,24.1,12.4,2.5,10.1,60.4,19.3,14.3
499,494,西江大学,24.1,30.2,2.8,47.2,9.1,18.2,38.4
500,494,罗马第二大学,24.1,28.9,2.1,6,37.7,30.7,14.6
501,494,约克大学,24.1,81.9,24.2,8.1,22.2,22.4,36.4
502,501-510,马赛大学,-,23,7.9,9.9,26.2,36.6,3.8
503,501-510,吉林大学,-,2.5,4.7,44.6,26.1,13.8,34.9
504,501-510,哈萨克斯坦国家技术大学,-,1.9,2.4,75.6,1.4,15.2,21.4
505,501-510,哈瓦那大学,-,4.9,1.2,64.9,1.8,18.1,26.8
506,501-510,波尔多大学,-,23.6,18.6,26.6,15,32.4,5.5
507,501-510,德里大学,-,1.8,1.1,5.5,24.8,35.3,32.3
508,501-510,阿尔卑斯-亚德里亚安大学克拉根福,-,78.4,92.9,52.9,12.7,4.5,3
509,501-510,利默里克大学,-,26.4,89.7,15.7,25.3,17.2,29.3
510,501-510,康斯坦茨大学,-,17.2,61.4,32,18.1,22.4,5.8
511,501-510,华沙工业大学,-,11.3,1.2,31,5.9,26,53
512,511-520,茂物农业大学,-,3.3,43.3,55.1,1.6,18.9,21
513,511-520,科什大学,-,6.5,17.2,39.5,19.7,18.5,27.5
514,511-520,密苏里科技大学,-,11.2,73.1,7.7,79.3,3.4,4.7
515,511-520,新加坡管理大学,-,67.2,100,15.1,27.4,11.6,18.7
516,511-520,阿尔卡拉大学,-,72.5,6.3,66.8,4.7,9.8,10.2
517,511-520,马来西亚北方大学,-,73.6,6.6,43.5,5.5,17.4,22.8
518,511-520,巴拉曼大学,-,23.3,5.4,91.1,1.8,4.6,12.1
519,511-520,V.N.卡拉津哈尔科夫国立大学,-,64.1,1.1,66.7,1.6,11.9,14.5
520,511-520,韦恩州立大学,-,7.3,5.2,74.5,16.3,9.8,5.4
521,521-530,中南大学,-,3.2,2.5,6.3,90.1,7.3,2.1
522,521-530,中国地质大学,-,3.4,1.1,61.4,42.4,4.1,1.3
523,521-530,康考迪亚大学,-,92.6,72.2,3.5,27.7,14.5,26.1
524,521-530,达曼大学,-,3.1,95.7,77.2,1.8,4.5,3.6
525,521-530,国立中央大学,-,14.9,5,30.5,27.7,20.5,19.3
526,521-530,拉斯维亚斯马尔塔·阿布瑞尤中央大学,-,1.9,1,99.9,1.2,6.1,1.3
527,521-530,拜罗伊特大学,-,21.4,31.8,38.7,34.3,10,15.6
528,521-530,东芬兰大学,-,6.3,13.3,42.5,30.8,14.9,11.4
529,521-530,德黑兰大学,-,2.1,1.2,3.9,52.8,22.3,22.7
530,521-530,蒙彼利埃大学,-,31.6,8.1,9.9,49.3,20.2,9.6
531,531-540,亚洲大学,-,16.2,2.1,64.1,15.9,11.4,10.5
532,531-540,华东师范大学,-,24.7,45.5,30,34.7,14.6,3.6
533,531-540,一桥大学,-,22.8,9.2,28.7,2.7,16.5,78.2
534,531-540,国立科学院院校里昂（INSA）,-,81.2,15.3,39.6,16.5,8.9,28
535,531-540,理海大学,-,43,15.1,35.8,44.9,6,6.6
536,531-540,长崎大学,-,5.4,2.3,86.2,8.3,6.5,2.3
537,531-540,车尔尼雪夫斯基的萨拉托夫州立大学,-,17.4,1.4,95,1.9,4.4,1.9
538,531-540,俄勒冈州立大学,-,18.2,7.3,28,38.1,17.5,8
539,531-540,圣约瑟夫德贝鲁特大学,-,19.2,86,49,2.6,9.7,30.5
540,531-540,南联邦大学,-,35,1.3,81.4,1.9,8.1,3.4
541,531-540,哥斯达黎加大学,-,na,na,31.4,1.8,28.2,45.9
542,531-540,萨拉戈萨大学,-,10.2,1.2,49.7,11.8,21.8,4.9
543,531-540,特拉华大学,-,17,21.8,9.2,66.6,10.5,10.8
544,541-550,阿伯斯威大学,-,60,44.7,24.3,35.7,9.8,7.5
545,541-550,科学技术大学伊朗,-,1.5,na,2.7,87.5,6.4,12.6
546,541-550,庆北国立大学,-,10.7,2.4,55.7,15.1,13.5,17.3
547,541-550,新泻大学,-,3.9,1.8,91.2,6.3,4.7,2.8
548,541-550,西北工业大学,-,5,8.1,55.8,40.1,4.9,2.1
549,541-550,萨班斯大学,-,16,30.6,39.4,18,15.6,20
550,541-550,佐治亚大学,-,5.7,2.3,13,36,22.1,28.8
551,541-550,田纳西大学,-,3.2,1.9,15.2,58.4,10.9,25.3
552,541-550,蔚山大学,-,4.7,1.4,64.4,30.6,5.8,2.7
553,551-560,哈萨克斯坦国家教育大学,-,2.7,16.1,66.2,1.1,15.4,12
554,551-560,亚里士多德大学,-,14.9,1,3,35.6,26.6,25.5
555,551-560,哈萨克斯坦国家农业大学,-,20.5,14.4,68.6,1,12.5,10.4
556,551-560,马萨里克大学,-,70.4,15.2,12.1,15.4,23.5,25.2
557,551-560,中东技术大学,-,13.1,4.2,7.8,24.1,25.4,42.3
558,551-560,泛美大学（UP）,-,1.6,4.9,74.3,1.2,7.6,31.1
559,551-560,塞维利亚大学,-,20,1.5,17.9,9.4,35.2,10
560,551-560,塞格德大学,-,59.4,4.4,45.5,5.1,17.7,13.9
561,551-560,意大利天主教圣心大学,-,9,2,39.7,6.5,22,31.3
562,551-560,图卢兹第三大学,-,27,2,45.7,11.9,20.4,4.4
563,561-570,阿尔泰州立大学,-,38.2,1.8,80.2,1.4,5.9,5.4
564,561-570,翰林大学,-,6.1,1.6,91.7,8,2.6,1.6
565,561-570,仁荷大学,-,11.8,2.1,69.9,12.1,7.3,12.8
566,561-570,尼赫鲁大学,-,3,na,20.4,23.3,28.8,10.5
567,561-570,布伦瑞克工业大学,-,29.7,na,62.2,9.1,10,16.5
568,561-570,新学院大学,-,94.9,1.9,48.7,3.8,13.8,6.4
569,561-570,帕维亚大学,-,13.6,2.2,6.6,51.6,20.6,6.8
570,561-570,弗里堡大学,-,48.9,100,5.7,39,10.8,6.8
571,571-580,开罗大学,-,6,1.2,10.7,2.7,38.6,26
572,571-580,大连理工大学,-,2.9,3.6,14.6,69.2,8.6,2.6
573,571-580,华东理工大学,-,2.3,1.2,17.2,71.4,7.3,2.7
574,571-580,卡斯里克的圣灵大学,-,39.2,99.3,53.5,1.6,4.7,10.5
575,571-580,湖南大学,-,3.4,2,11.5,75.3,7,6.7
576,571-580,伊瓜恩Javakhishvili第比利斯州立大学,-,3.4,1.2,85.4,1.2,6.8,5.3
577,571-580,全北国立大学,-,8.4,3.1,58.6,13.2,12.5,9.7
578,571-580,大阪市立大学,-,4.2,1.9,73.2,8.9,9.4,6.7
579,571-580,瓦伦西亚大学,-,11.1,1.2,11.4,24.8,30.1,8.9
580,571-580,米尼奥大学,-,24.5,10,47.5,15.2,14.8,7.9
581,571-580,内布拉斯加大学,-,20.4,57.5,22.7,38.2,10.8,6.1
582,571-580,不来梅大学,-,22.7,28.1,21.5,27.6,20.2,6.9
583,581-590,黎巴嫩美国大学,-,48.2,95.7,29.5,4.2,9.7,27.5
584,581-590,岭南大学（香港）,-,78.5,100,23.4,14.9,7.6,8.4
585,581-590,默多克大学,-,68.3,77.2,5.5,41,7.9,9.2
586,581-590,冈山大学,-,7.2,1.9,71.5,11,8,3.7
587,581-590,萨马拉国立航空航天大学,-,21.1,1.6,84.9,2.7,4.2,3.8
588,581-590,拉普拉塔国立大学,-,16.2,1.7,19.2,2.1,32.9,22.2
589,581-590,圭尔夫大学,-,15.7,32.9,6.5,40.8,13.8,31.1
590,581-590,南佛罗里达大学,-,23.9,29.7,9.2,46.5,13.2,14.8
591,591-600,巴林应用科学大学,-,41.7,100,33.4,1.3,11.1,18.8
592,591-600,毕尔坎特大学,-,10.8,46.1,17.2,16.9,19.7,25.5
593,591-600,印度理工学院海得拉巴,-,1.5,1.1,24.9,65.8,3.7,2.2
594,591-600,熊本大学,-,3.8,1.9,71.6,10.8,7.4,2.6
595,591-600,国立政治大学,-,46.6,5.9,31.4,3.1,19.4,30.2
596,591-600,浦那大学,-,3.2,1,57.8,22,8.5,5.8
597,591-600,索非亚大学“圣克拉门特奥尔希斯基”,-,11,1.2,60.6,2,14,15
598,591-600,哥伦比亚大学,-,1.7,3.4,48.3,1.1,11.4,53.8
599,591-600,德布勒森大学,-,79,5.3,34.4,4.1,17.4,11.6
600,591-600,电子科技大学,-,3.1,1.5,10.2,79.3,4.2,2.4
601,591-600,卢布尔雅那大学,-,8.8,1.5,45.3,8.3,20,7.6
602,591-600,雷根斯堡大学,-,10.9,na,64.5,9.2,11.2,6.8
603,591-600,魁北克大学,-,25.3,12.9,2.4,36.6,21.1,19.8
604,601-650,阿科美大学,-,15,27.6,33.2,30.2,8.9,7.8
605,601-650,迪拜美国大学,-,100,100,17.7,2.2,7.6,15.5
606,601-650,马尼拉雅典耀大学,-,3.6,1.6,35.9,1.7,18,39.7
607,601-650,班戈大学,-,70.5,41.8,17.5,31.1,8.6,6.2
608,601-650,迪拜的加拿大大学,-,100,100,26.6,1.8,7.2,13.7
609,601-650,卡尔顿大学,-,53,20.3,2.9,47.2,9.5,18.3
610,601-650,中央昆士兰大学,-,98.2,95.7,20.3,10,6.6,12.1
611,601-650,清迈大学,-,4.1,1.6,14.9,4,31,29.5
612,601-650,中国农业大学,-,1.7,1.5,23.4,55.2,8,1.8
613,601-650,克拉克大学,-,70.8,4.6,27.5,42.1,3.6,2.2
614,601-650,考文垂大学,-,99.8,70.2,14.6,6.2,9.8,32.2
615,601-650,岐阜大学,-,4.2,1.7,78.7,8.1,4.1,2.2
616,601-650,金泽大学,-,6.2,3.4,63.3,12.2,8.2,3.3
617,601-650,金斯顿大学,-,98.7,63.3,8.3,9.3,15.6,14.1
618,601-650,建国大学,-,12.6,2.1,58.1,11.5,7.3,11.3
619,601-650,汉诺威大学,-,38.9,16,13.4,10.3,21.1,29.9
620,601-650,管理与科学大学,-,41.1,43.5,40,1.3,10.6,20.4
621,601-650,南京理工大学,-,na,na,18.9,65.3,3.9,2.3
622,601-650,帕拉茨基大学奥洛穆茨,-,19.5,17.3,37.8,9,15.4,12.5
623,601-650,Pavol Josef Safarik大学,-,64.3,1.2,64.3,4.1,4.6,2.3
624,601-650,釜山国立大学,-,7.6,2.7,29,20.4,19.1,15.9
625,601-650,中国人民大学,-,6.3,2.5,20.4,8.2,22.9,43.1
626,601-650,哈萨克斯坦国立医科大学,-,49.6,2.4,64.3,1,6.3,5
627,601-650,世宗大学,-,21.6,11.8,17.7,37.6,11.3,18.1
628,601-650,深圳大学,-,1.7,4.9,67.6,14.2,7.1,2.3
629,601-650,史密斯学院,-,23.2,2.1,73.7,6.9,3.6,2.2
630,601-650,苏州大学,-,3.1,2.4,18.2,64.2,5.9,2.5
631,601-650,基辅舍夫琴科基辅共和国国立大学,-,7.3,1.1,40.3,2.7,18.1,29.4
632,601-650,泰国法政大学,-,1.9,3.7,27.7,2.2,23.2,40.7
633,601-650,东京农工大学,-,6.7,1.9,14.1,52.9,12.2,6.1
634,601-650,阿纳瓦克大学,-,3.5,2.2,56.3,1.1,10.2,35.6
635,601-650,布宜诺斯艾利斯大学国家中心,-,na,na,83,1.5,5.3,2.4
636,601-650,科米利亚斯主教大学,-,5.9,6.6,42,2.7,8.6,57.5
637,601-650,德翁大学,-,2.4,4.6,16.4,6.7,25.4,43.8
638,601-650,拉曼·鲁尔大学,-,37.3,94.9,8.1,8.4,11.3,46.3
639,601-650,巴黎第二大学,-,7.8,na,77.3,1.2,6.6,7.4
640,601-650,阿威罗大学,-,2.4,na,24.4,45.7,12.1,6.1
641,601-650,辛辛那提大学,-,12.4,2.3,29.1,29.4,13.1,12.9
642,601-650,热那亚大学,-,15.7,1.6,9.8,47.7,15.8,4.7
643,601-650,霍恩海姆大学,-,26.8,9.3,6.8,56.1,9.4,5
644,601-650,约旦大学,-,35.1,8.1,15.7,3.6,24.4,33
645,601-650,曼尼托巴大学,-,31.6,na,41.3,12.3,13.9,17.8
646,601-650,普利茅斯大学,-,33.9,28.4,12.4,43.2,9.4,12.1
647,601-650,比勒陀利亚大学,-,7.4,28.8,3,23.2,22.4,38.1
648,601-650,沙迦大学,-,100,100,6.7,5.8,13.9,11
649,601-650,锡耶纳大学,-,21.8,1.4,10.4,55.6,11.7,3.2
650,601-650,南卡罗来纳大学,-,5,25.3,12,31.2,16.4,18.8
651,601-650,维多利亚大学,-,89.7,29,2.1,46.9,8.1,8.2
652,651-700,美利坚大学,-,18.2,1.4,34.6,5.2,15.9,28.9
653,651-700,重庆大学,-,2.4,1.5,14.6,61.6,6.9,3.1
654,651-700,威廉玛丽学院,-,11.7,3.3,37,21.6,9,13.5
655,651-700,科米诺斯大学在布拉迪斯拉发,-,26.5,1.3,49.3,4,12.9,3.1
656,651-700,德雷塞尔大学,-,22.2,4.4,32.1,30.9,9.2,7.3
657,651-700,埃迪斯科文大学,-,87.9,58.7,8,23.1,8.4,11.3
658,651-700,匈牙利罗兰大学,-,25.2,2,21.8,5.8,24,17.4
659,651-700,博尔扎诺自由大学,-,30.1,87.3,11.7,37.3,4,2
660,651-700,霍华德大学,-,6.8,1,66.5,4.4,6,11
661,651-700,伊曼纽埃尔·卡特波罗的海联邦大学,-,27.2,5,67.8,1.7,5.3,2
662,651-700,马来西亚国际伊斯兰大学（IIUM）,-,64.9,11.6,16.8,3.2,21,18
663,651-700,贾达福布尔大学,-,1.4,na,14.1,47.2,13.3,4.8
664,651-700,鹿儿岛大学,-,3.5,1.6,71.1,5.1,4.8,2.9
665,651-700,格拉茨大学,-,32.3,33.2,14.7,14.6,20.8,10
666,651-700,哈立德国王大学,-,3.4,100,44.7,1.7,8.4,3.1
667,651-700,拉合尔管理科学大学（LUMS）,-,1.8,3.3,29.1,5.6,13.7,57.5
668,651-700,下诺夫哥罗德国立大学,-,17.2,1.3,62.1,2.4,8.8,4.4
669,651-700,澳门科技大学,-,100,100,4.9,24,3.8,2.9
670,651-700,密歇根理工大学,-,16.8,4.6,27.9,40.3,5.8,7.2
671,651-700,国立中兴大学,-,9.5,2.8,25.6,16.9,16.6,16.2
672,651-700,国立技术大学“哈尔科夫理工学院”,-,17.9,1.1,68.3,1.3,6,10.3
673,651-700,雅典大学,-,13.6,1.9,2.4,23.5,23.2,29
674,651-700,里约热内卢天主大学,-,2,4.9,10.4,11,28.8,16.1
675,651-700,塞维诺夫第一莫斯科国立医科大学,-,45,3.3,66,1.7,5.3,3.9
676,651-700,双威大学,-,31.2,20.2,41.8,3.9,7,33.4
677,651-700,雪城大学,-,45,1.9,16.1,22.3,14.1,17.5
678,651-700,德岛大学,-,2.9,1.4,71,9,5.2,1.6
679,651-700,阿尔斯特大学,-,22.2,99.9,20.9,14.7,9.2,13.2
680,651-700,ICEI大学,-,2.3,2,66.9,1.6,4.9,16.1
681,651-700,卡耶塔诺·埃雷迪亚大学,-,3.1,1.1,60.6,3,9.7,12.6
682,651-700,宗座大学玻利瓦尔,-,3.7,1.9,57.7,1.8,8.5,26.6
683,651-700,德安蒂奥基亚大学,-,1.3,1.6,4.8,4.6,27.4,52.5
684,651-700,米纳斯吉拉斯联邦大学,-,2.2,3,14.4,9,30.1,9.6
685,651-700,玛拉工艺大学,-,1.6,1.2,13.7,3,25.2,46.5
686,651-700,克里特大学,-,4.7,1.1,4.6,50.1,14.8,12.2
687,651-700,赫尔大学,-,46.5,44.7,21,29.5,7.7,6.1
688,651-700,海得拉巴大学,-,2.3,1.2,19.3,46.1,11.4,3.9
689,651-700,肯塔基大学,-,5.1,6.8,24.3,32.6,11.5,16.6
690,651-700,马萨诸塞大学，波士顿,-,20.8,1.7,13,37,13.5,9
